Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time,Rating
Ford Explorer 2013,Ford ,Explorer ,2013.0,Automatic,165500.0,52499," Apr 07, 2021",1
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,118300.0,52500," Apr 07, 2021",5
Ford Focus 2017,Ford ,Focus ,2017.0,Automatic,1739.0,42000," Apr 07, 2021",10
Ford Expedition 2017,Ford ,Expedition ,2017.0,Automatic,1243.0,165999," Apr 07, 2021",1
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,22603.0,45000," Apr 07, 2021",10
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,82604.0,52498," Apr 07, 2021",5
Ford Edge 2012,Ford ,Edge ,2012.0,Automatic,71188.0,57750," Apr 07, 2021",5
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,4483.0,120750," Apr 07, 2021",1
Ford Edge 2014,Ford ,Edge ,2014.0,Automatic,56723.0,59999," Apr 07, 2021",5
Ford Expedition 2014,Ford ,Expedition ,2014.0,Automatic,83800.0,78750," Apr 07, 2021",1
Ford Ranger 2016,Ford ,Ranger ,2016.0,Manual,35511.0,60900," Apr 07, 2021",5
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,2218.0,37800," Apr 07, 2021",10
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,116963.0,52498," Apr 07, 2021",5
Ford Taurus 2015,Ford ,Taurus ,2015.0,Automatic,29900.0,56000," Apr 07, 2021",10
Lincoln MKT 2013,Lincoln ,MKT ,2013.0,Automatic,72339.0,72449," Apr 07, 2021",5
Ford Taurus 2016,Ford ,Taurus ,2016.0,Automatic,15276.0,64999," Apr 07, 2021",5
Ford Expedition 2012,Ford ,Expedition ,2012.0,Automatic,90660.0,52498," Apr 07, 2021",5
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,115250.0,45000," Apr 07, 2021",5
Lincoln MKT 2015,Lincoln ,MKT ,2015.0,Automatic,68317.0,99999," Apr 07, 2021",1
Ford Edge 2013,Ford ,Edge ,2013.0,Automatic,132239.0,41999," Apr 07, 2021",5
Lincoln MKS 2014,Lincoln ,MKS ,2014.0,Automatic,21667.0,93450," Apr 07, 2021",1
Ford Fusion 2015,Ford ,Fusion ,2015.0,Automatic,10666.0,52500," Apr 07, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,28000.0,37800," Apr 07, 2021",10
Mitsubishi Outlander 2014,Mitsubishi ,Outlander ,2014.0,Automatic,204000.0,33000," Apr 07, 2021",5
Lincoln Town Car 2021,Lincoln ,Town ,2021.0,Automatic,350000.0,10000," Apr 07, 2021",10
Toyota Land Cruiser Prado  4.0L V6 VX1 2004,Toyota ,Land ,2004.0,Automatic,511000.0,34000," Apr 06, 2021",10
Toyota Land Cruiser  4.0 GXR 2015,Toyota ,Land ,2015.0,Automatic,98500.0,165000," Apr 06, 2021",1
Toyota Fortuner  2.7L EXR 2016,Toyota ,Fortuner ,2016.0,Automatic,97000.0,65000," Apr 06, 2021",5
Toyota Fortuner  2.7L EXR 2016,Toyota ,Fortuner ,2016.0,Automatic,97000.0,65000," Apr 06, 2021",5
Ford Taurus  2.0L EcoBoost SE 2018,Ford ,Taurus ,2018.0,Automatic,16000.0,85000," Apr 05, 2021",5
Toyota Yaris 2011,Toyota ,Yaris ,2011.0,Automatic,123250.0,15000," Apr 05, 2021",10
Kia Cerato  1.6L Top 2016,Kia ,Cerato ,2016.0,Automatic,130000.0,24000," Apr 05, 2021",10
Hyundai Sonata  2.4L  Ace of Base 2013,Hyundai ,Sonata ,2013.0,Automatic,176000.0,32000," Apr 05, 2021",5
Kia Carens  1.6L Base 2017,Kia ,Carens ,2017.0,Automatic,163000.0,30000," Apr 05, 2021",10
Toyota Hilux  2.0 Double Cab 4x2 M/T 2009,Toyota ,Hilux ,2009.0,Manual,330000.0,30000," Apr 05, 2021",10
Toyota Corolla  1.6 SE 2014,Toyota ,Corolla ,2014.0,Automatic,99000.0,42000," Apr 05, 2021",10
Chevrolet Blazer 2006,Chevrolet ,Blazer ,2006.0,Automatic,400000.0,15000," Apr 04, 2021",10
Lexus ES 350 2017,Lexus ,ES ,2017.0,Automatic,27000.0,140000," Apr 04, 2021",1
Hyundai Genesis  3.8 Top 2016,Hyundai ,Genesis ,2016.0,Automatic,212000.0,90000," Apr 04, 2021",1
Jeep Grand Cherokee  SRT8 2014,Jeep ,Grand ,2014.0,Automatic,100000.0,130000," Apr 04, 2021",1
Toyota Corolla  1.6L Smart 2005,Toyota ,Corolla ,2005.0,CVT,355000.0,10500," Apr 03, 2021",10
Geely Emgrand X7 2014,Geely ,Emgrand ,2014.0,Automatic,87000.0,11000," Apr 03, 2021",10
Mitsubishi Pajero  3.5L 5 Door Mid 2015,Mitsubishi ,Pajero ,2015.0,Automatic,93000.0,50000," Apr 03, 2021",5
Bentley Flying Spur  6.0L W12 S 2012,Bentley ,Flying ,2012.0,Automatic,85000.0,175000," Apr 02, 2021",1
Kia Optima  2.0L T-GDI GT 2020,Kia ,Optima ,2020.0,Automatic,88000.0,65000," Apr 02, 2021",5
