Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time
Ford Explorer 2015,Ford ,Explorer ,2015,Automatic,"68,114",63999," Apr 07, 2021"
Ford Taurus 2017,Ford ,Taurus ,2017,Automatic,"1,606",110000," Apr 07, 2021"
Ford Fusion 2014,Ford ,Fusion ,2014,Automatic,"95,395",33000," Apr 07, 2021"
Ford Taurus 2017,Ford ,Taurus ,2017,Automatic,,109999," Apr 07, 2021"
Ford Edge 2012,Ford ,Edge ,2012,Automatic,"71,188",50400," Apr 07, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,"3,960",150150," Apr 07, 2021"
Toyota Camry 2015,Toyota ,Camry ,2015,Automatic,"39,706",52500," Apr 07, 2021"
Toyota Camry 2015,Toyota ,Camry ,2015,Automatic,"42,249",52500," Apr 07, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Toyota Camry 2015,Toyota ,Camry ,2015,Automatic,"90,109",49999," Apr 07, 2021"
Toyota Camry 2015,Toyota ,Camry ,2015,Automatic,"49,210",51999," Apr 07, 2021"
Ford Expedition 2014,Ford ,Expedition ,2014,Automatic,"92,618",59999," Apr 07, 2021"
Ford Edge 2013,Ford ,Edge ,2013,Automatic,"18,815",51729," Apr 07, 2021"
Ford Expedition 2016,Ford ,Expedition ,2016,Automatic,"68,281",90999," Apr 07, 2021"
Ford Taurus 2015,Ford ,Taurus ,2015,Automatic,"35,000",94500," Apr 07, 2021"
Lincoln Continental 2017,Lincoln ,Continental ,2017,Automatic,"10,300",259999," Apr 07, 2021"
Lincoln Continental 2017,Lincoln ,Continental ,2017,Automatic,,284999," Apr 07, 2021"
Ford Fusion 2016,Ford ,Fusion ,2016,Automatic,"17,110",48999," Apr 07, 2021"
Ford Fusion 2016,Ford ,Fusion ,2016,Automatic,"14,505",44999," Apr 07, 2021"
Ford Focus 2013,Ford ,Focus ,2013,Automatic,"48,854",20000," Apr 07, 2021"
Ford Focus 2016,Ford ,Focus ,2016,Automatic,"27,202",44999," Apr 07, 2021"
Ford Expedition 2016,Ford ,Expedition ,2016,Automatic,"6,214",102999," Apr 07, 2021"
Toyota Camry 2015,Toyota ,Camry ,2015,Automatic,"50,287",51450," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,134999," Apr 07, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Expedition 2016,Ford ,Expedition ,2016,Automatic,"13,333",94999," Apr 07, 2021"
Lincoln Navigator 2012,Lincoln ,Navigator ,2012,Automatic,"102,500",84000," Apr 07, 2021"
Ford Taurus 2016,Ford ,Taurus ,2016,Automatic,"26,900",73000," Apr 07, 2021"
Ford Flex 2016,Ford ,Flex ,2016,Automatic,"2,700",93450," Apr 07, 2021"
Ford Ranger 2011,Ford ,Ranger ,2011,Manual,"8,184",24999," Apr 07, 2021"
Ford Expedition 2013,Ford ,Expedition ,2013,Automatic,"155,766",54999," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,109999," Apr 07, 2021"
Ford Mustang 2017,Ford ,Mustang ,2017,Automatic,"7,796",156000," Apr 07, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,"1,218",142999," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"1,130",100500," Apr 07, 2021"
Ford Ranger 2011,Ford ,Ranger ,2011,Manual,"90,033",22999," Apr 07, 2021"
Ford Expedition 2015,Ford ,Expedition ,2015,Automatic,"92,823",73499," Apr 07, 2021"
Ford Expedition 2013,Ford ,Expedition ,2013,Automatic,"92,409",54999," Apr 07, 2021"
Lincoln MKX 2016,Lincoln ,MKX ,2016,Automatic,"35,667",167999," Apr 07, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,"2,129",155999," Apr 07, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Mustang 2017,Ford ,Mustang ,2017,Automatic,"15,878",189000," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"1,682",134999," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"2,774",134999," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,134999," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,129999," Apr 07, 2021"
Ford Taurus 2017,Ford ,Taurus ,2017,Automatic,"22,114",99999," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,"4,422",134999," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,111300," Apr 07, 2021"
Ford Taurus 2017,Ford ,Taurus ,2017,Automatic,"7,000",142800," Apr 07, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,"16,834",149999," Apr 07, 2021"
Ford Explorer 2013,Ford ,Explorer ,2013,Automatic,"165,500",52499," Apr 07, 2021"
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"118,300",52500," Apr 07, 2021"
Ford Focus 2017,Ford ,Focus ,2017,Automatic,"1,739",42000," Apr 07, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,"1,243",165999," Apr 07, 2021"
Ford Edge 2017,Ford ,Edge ,2017,Automatic,,124999," Apr 07, 2021"
nan,,,,nan,,0,nan
